Age,Education Level,Job Title,Experience (Years),Industry,Hours/Week,Work Mode,Skills,Salary (USD)
32,Bachelor's,Machine Learning Engineer,3,Manufacturing,49,Onsite,"Deep Learning, Python, ML",96189
36,Master's,Research Scientist,13,Utilities,49,Remote,"R, Python, Data Analysis",110513
28,Bachelor's,Financial Analyst,7,Healthcare,36,Remote,"Valuation, Python",80428
47,Bachelor's,Technician,9,Manufacturing,43,Onsite,"Safety, CNC, Maintenance",52344
57,Master's,Accountant,12,IT,41,Onsite,"Tally, Compliance",72856
24,Diploma,Research Scientist,3,Utilities,40,Hybrid,"R, Python, Data Analysis",92028
46,Master's,Project Manager,12,Healthcare,42,Onsite,"PM, Excel, MS Project",109064
37,Bachelor's,Marketing Manager,3,Healthcare,38,Remote,"SEM, Analytics",76791
40,Master's,Marketing Manager,10,Tech,42,Hybrid,"SEM, SEO",86965
47,Bachelor's,UI/UX Designer,17,Utilities,40,Remote,"XD, Figma",84992
50,Diploma,DevOps Engineer,26,Healthcare,37,Onsite,"Docker, CI/CD",140170
25,Master's,Content Writer,3,Construction,50,Hybrid,"WordPress, Writing",54760
39,Bachelor's,Business Analyst,4,Construction,40,Hybrid,"Excel, SQL, Tableau",75598
41,Master's,Data Scientist,1,Healthcare,48,Onsite,"SQL, ML",64936
60,Bachelor's,Financial Analyst,32,Finance,48,Onsite,"Excel, Python",120442
39,High School,Machine Learning Engineer,14,IT,36,Onsite,"Python, ML, Deep Learning",122800
54,Bachelor's,Product Manager,13,Retail,47,Onsite,"Agile, JIRA",111376
30,Master's,Software Engineer,4,Manufacturing,41,Remote,"Git, Java, Python",66784
25,Bachelor's,HR Manager,1,Finance,49,Remote,"HRM, Payroll, Communication",70547
36,Bachelor's,Product Manager,10,Finance,46,Remote,"PM, JIRA",110781
27,Master's,Software Engineer,4,Media,38,Onsite,"Git, Python",70172
55,PhD,Software Engineer,31,Healthcare,43,Onsite,"Java, Python, Git",122595
31,PhD,QA Engineer,2,IT,40,Remote,"Testing, Python",58607
50,Master's,Financial Analyst,23,Construction,43,Remote,"Excel, Python, Valuation",104074
29,Bachelor's,Data Scientist,2,Tech,50,Hybrid,"Python, ML",77039
34,PhD,Project Manager,1,Utilities,42,Hybrid,"MS Project, Excel, PM",80249
29,Bachelor's,DevOps Engineer,6,Finance,35,Onsite,"Docker, CI/CD, AWS",89861
44,Master's,Research Scientist,12,Tech,50,Onsite,"R, Python",100265
60,PhD,Project Manager,8,Utilities,36,Hybrid,"Excel, PM",95331
55,Diploma,Marketing Manager,21,Media,48,Onsite,"SEO, Analytics",95522
53,Master's,Content Writer,23,Insurance,36,Remote,"SEO, WordPress, Writing",88002
58,High School,Software Engineer,10,Construction,38,Onsite,"Java, Python, Git",72152
24,Diploma,DevOps Engineer,3,Construction,47,Hybrid,"CI/CD, AWS",92707
55,Master's,Cloud Engineer,29,Media,38,Onsite,"Azure, Python",163693
36,Bachelor's,Machine Learning Engineer,12,Manufacturing,46,Onsite,"Python, ML",105616
43,Master's,Data Scientist,5,Finance,39,Remote,"ML, Python, SQL",70908
36,Diploma,Research Scientist,8,IT,43,Onsite,"Data Analysis, R, Python",98058
49,Bachelor's,HR Manager,27,Consulting,43,Onsite,"Communication, Payroll, HRM",109984
25,Bachelor's,Machine Learning Engineer,1,Insurance,37,Hybrid,"ML, Python, Deep Learning",102699
33,Bachelor's,Software Engineer,4,Construction,45,Onsite,"Java, Python",69015
38,Master's,Electrician,11,Consulting,49,Onsite,"Wiring, Troubleshooting, Safety",70356
32,High School,Graphic Designer,9,Utilities,36,Onsite,"Photoshop, InDesign",66190
